Samples	CN1	CN2	CN3	CN4	CN5	CN6	CN7	CN8	CN9	CN10	CN11	CN12	CN13	CN14	CN15	CN16	CN17	CN18	CN19	CN20	CN21	CN22	CN23	CN24	CN25
TCGA-QH-A65S	44	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0
TCGA-QH-A6CW	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0
TCGA-QH-A6X3	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0
TCGA-QH-A6X9	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0
TCGA-QH-A6XA	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0
TCGA-QH-A870	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0
TCGA-RY-A83Z	0	0	0	0	0	0	0	0	195	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0
TCGA-RY-A843	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	128	0	0
TCGA-RY-A845	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0
TCGA-S9-A6TS	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0
TCGA-S9-A6TU	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0
TCGA-S9-A6TV	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	43	0	0	0	0	0
TCGA-S9-A6TZ	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
TCGA-S9-A6U1	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	68	0	0
TCGA-S9-A6U6	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0
TCGA-S9-A6U9	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0
TCGA-S9-A6WG	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	89	0
TCGA-S9-A6WO	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
TCGA-S9-A7IS	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0
TCGA-S9-A7IZ	0	51	0	28	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0
TCGA-S9-A7J0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	152	0	0	0	0	0
TCGA-S9-A7QW	40	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
TCGA-S9-A7QX	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0
TCGA-S9-A7R3	0	0	0	0	0	0	0	0	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0
TCGA-S9-A7R4	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0
TCGA-S9-A7R7	42	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0
TCGA-S9-A7R8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	245	0
TCGA-S9-A89Z	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0
TCGA-TM-A7C4	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	54	0	0
TCGA-TM-A7CA	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	73	0
TCGA-TM-A7CF	0	65	0	0	0	143	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCGA-TM-A84F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	151	0	0
TCGA-TM-A84H	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0
TCGA-TM-A84L	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	0	0	0	0
TCGA-TM-A84T	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0
